"","Date","Latitude","Longitude","pH"
"1",2018-02-24,37.9080349,-77.2992656,6.96
"2",2018-04-02,37.9080349,-77.2992656,7.31
"3",2019-04-02,39.5988,-75.952,7.41
"4",2019-04-12,39.5693,-75.9723,7.01
"5",2019-04-14,38.0279,-77.2329,6.84
"6",2019-04-19,39.6814,-75.9517,7.2
"7",2019-04-19,39.6486,-75.9555,7.06
"8",2019-04-27,39.6022,-75.9437,7.18
"9",2019-04-27,39.5958,-75.9441,7.31
"10",2019-05-02,39.5988,-75.952,6.94
"11",2018-05-03,38.9732,-76.4924,6.4
"12",2018-05-03,38.9724,-76.4893,8.4
"13",2018-05-03,38.9734,-76.4879,8.9
"14",2018-05-03,38.9699,-76.4996,6.5
"15",2018-05-03,38.9678,-76.4971,8.2
"16",2018-05-03,38.9678,-76.4971,8.2
"17",2018-05-03,38.9695,-76.5023,6.6
"18",2018-05-03,38.9724,-76.4958,8.6
"19",2018-05-03,38.9753,-76.4782,8
"20",2018-05-03,38.9753,-76.4837,6.6
"21",2018-05-12,37.9080349,-77.2992656,7.01
"22",2019-05-17,39.5693,-75.9723,8.18
"23",2019-05-19,38.0279,-77.2329,6.81
"24",2019-05-21,39.5693,-75.9723,7.88
"25",2019-05-21,39.6486,-75.9555,6.86
"26",2018-05-24,38.9732,-76.4924,6.5
"27",2018-05-24,38.9724,-76.4893,7.2
"28",2018-05-24,38.9699,-76.4996,6.8
"29",2018-05-24,38.9695,-76.5023,6.4
"30",2018-05-24,38.9678,-76.4971,7
"31",2018-05-24,38.9734,-76.4879,6.6
"32",2018-05-24,38.9753,-76.4837,6.2
"33",2018-05-24,38.9753,-76.4782,7.5
"34",2018-05-24,38.9724,-76.4958,6.5
"35",2019-05-26,39.6022,-75.9437,6.82
"36",2019-05-26,39.5958,-75.9441,7.44
"37",2018-05-31,38.9724,-76.4893,6.8
"38",2018-05-31,38.9734,-76.4879,6.5
"39",2018-05-31,38.9732,-76.4924,6.6
"40",2018-05-31,38.9678,-76.4971,7.1
"41",2018-05-31,38.9678,-76.4971,7.1
"42",2018-05-31,38.9724,-76.4958,6.5
"43",2018-05-31,38.9678,-76.4971,7
"44",2018-05-31,38.9678,-76.4971,7
