field_1,Date,Latitude,Longitude,pH
"134",1993-01-01,"40.176630000000003","-77.185370000000006","6.750000000000000"
"135",1993-01-01,"40.234870000000001","-77.141930000000002","7.200000000000000"
"136",1993-01-01,"40.176670000000001","-77.185069999999996","6.650000000000000"
"137",1993-01-01,"40.179989999999997","-77.186920000000001","6.350000000000000"
"138",1993-01-01,"40.188440000000000","-77.186059999999998","6.850000000000000"
"139",1993-01-01,"40.195279999999997","-77.184229999999999","7.000000000000000"
"140",1993-01-01,"40.207920000000001","-77.181039999999996","7.500000000000000"
"141",1993-01-01,"40.214179999999999","-77.168830000000000","7.500000000000000"
"142",1993-01-01,"40.218470000000003","-77.160030000000006","7.150000000000000"
"143",1993-01-01,"40.224290000000003","-77.149280000000005","7.150000000000000"
"144",1994-01-01,"40.176630000000003","-77.185370000000006","7.500000000000000"
"145",1994-01-01,"40.234870000000001","-77.141930000000002","7.900000000000000"
"146",1994-01-01,"40.176670000000001","-77.185069999999996","7.400000000000000"
"147",1994-01-01,"40.179989999999997","-77.186920000000001","7.000000000000000"
"148",1994-01-01,"40.188440000000000","-77.186059999999998","7.200000000000000"
"149",1994-01-01,"40.195279999999997","-77.184229999999999","7.600000000000000"
"150",1994-01-01,"40.207920000000001","-77.181039999999996","7.500000000000000"
"151",1994-01-01,"40.214179999999999","-77.168830000000000","7.000000000000000"
"152",1994-01-01,"40.218470000000003","-77.160030000000006","7.100000000000000"
"153",1994-01-01,"40.224290000000003","-77.149280000000005","7.100000000000000"
"154",1995-01-01,"40.176630000000003","-77.185370000000006","7.000000000000000"
"155",1995-01-01,"40.234870000000001","-77.141930000000002","7.500000000000000"
"156",1995-01-01,"40.176670000000001","-77.185069999999996","7.100000000000000"
"157",1995-01-01,"40.179989999999997","-77.186920000000001","7.100000000000000"
"158",1995-01-01,"40.188440000000000","-77.186059999999998","7.300000000000000"
"159",1995-01-01,"40.195279999999997","-77.184229999999999","7.400000000000000"
"160",1995-01-01,"40.207920000000001","-77.181039999999996","7.200000000000000"
"161",1995-01-01,"40.214179999999999","-77.168830000000000","7.400000000000000"
"162",1995-01-01,"40.218470000000003","-77.160030000000006","7.300000000000000"
"163",1995-01-01,"40.224290000000003","-77.149280000000005","7.300000000000000"
"164",2003-01-03,"40.176630000000003","-77.185370000000006","7.800000000000000"
"165",2003-01-03,"40.234870000000001","-77.141930000000002","7.800000000000000"
"166",2003-01-03,"40.176670000000001","-77.185069999999996","7.800000000000000"
"167",2003-01-03,"40.179989999999997","-77.186920000000001","7.500000000000000"
"168",2003-01-03,"40.188440000000000","-77.186059999999998","7.800000000000000"
"169",2003-01-03,"40.195279999999997","-77.184229999999999","8.199999999999999"
"170",2003-01-03,"40.207920000000001","-77.181039999999996","8.000000000000000"
"171",2003-01-03,"40.214179999999999","-77.168830000000000","7.600000000000000"
"172",2003-01-03,"40.218470000000003","-77.160030000000006","7.600000000000000"
"173",2003-01-03,"40.224290000000003","-77.149280000000005","7.800000000000000"
"174",2003-01-03,"40.195680000000003","-77.187669999999997","7.400000000000000"
"175",2003-01-03,"40.196080000000002","-77.185180000000003","7.200000000000000"
"176",2017-01-06,"40.176630000000003","-77.185370000000006","7.700000000000000"
"177",2007-01-07,"40.176630000000003","-77.185370000000006","7.780000000000000"
"178",2007-01-07,"40.234870000000001","-77.141930000000002","8.359999999999999"
"179",2007-01-07,"40.176670000000001","-77.185069999999996","8.060000000000000"
"180",2007-01-07,"40.179989999999997","-77.186920000000001","7.950000000000000"
"181",2007-01-07,"40.188440000000000","-77.186059999999998","8.140000000000001"
"182",2007-01-07,"40.195279999999997","-77.184229999999999","8.330000000000000"
"183",2007-01-07,"40.207920000000001","-77.181039999999996","8.420000000000000"
"184",2007-01-07,"40.214179999999999","-77.168830000000000","8.090000000000000"
"185",2007-01-07,"40.218470000000003","-77.160030000000006","8.199999999999999"
"186",2007-01-07,"40.224290000000003","-77.149280000000005","8.199999999999999"
"187",2007-01-07,"40.195680000000003","-77.187669999999997","7.550000000000000"
"188",2007-01-07,"40.196080000000002","-77.185180000000003","7.930000000000000"
"189",1997-01-08,"40.176630000000003","-77.185370000000006","7.410000000000000"
"190",1997-01-08,"40.234870000000001","-77.141930000000002","7.570000000000000"
"191",1997-01-08,"40.176670000000001","-77.185069999999996","7.430000000000000"
"192",1997-01-08,"40.179989999999997","-77.186920000000001","7.500000000000000"
"193",1997-01-08,"40.188440000000000","-77.186059999999998","7.480000000000000"
"194",1997-01-08,"40.195279999999997","-77.184229999999999","7.740000000000000"
"195",1997-01-08,"40.207920000000001","-77.181039999999996","7.600000000000000"
"196",1997-01-08,"40.214179999999999","-77.168830000000000","7.610000000000000"
"197",1997-01-08,"40.218470000000003","-77.160030000000006","7.590000000000000"
"198",1997-01-08,"40.224290000000003","-77.149280000000005","7.610000000000000"
"199",1998-01-08,"40.176630000000003","-77.185370000000006","7.600000000000000"
"200",1998-01-08,"40.234870000000001","-77.141930000000002","7.800000000000000"
"201",1998-01-08,"40.176670000000001","-77.185069999999996","7.600000000000000"
"202",1998-01-08,"40.179989999999997","-77.186920000000001","7.700000000000000"
"203",1998-01-08,"40.188440000000000","-77.186059999999998","7.600000000000000"
"204",1998-01-08,"40.195279999999997","-77.184229999999999","7.500000000000000"
"205",1998-01-08,"40.207920000000001","-77.181039999999996","7.500000000000000"
"206",1998-01-08,"40.214179999999999","-77.168830000000000","7.600000000000000"
"207",1998-01-08,"40.218470000000003","-77.160030000000006","7.800000000000000"
"208",1998-01-08,"40.224290000000003","-77.149280000000005","7.800000000000000"
"209",1999-01-08,"40.176630000000003","-77.185370000000006","7.500000000000000"
"210",1999-01-08,"40.234870000000001","-77.141930000000002","7.700000000000000"
"211",1999-01-08,"40.176670000000001","-77.185069999999996","7.600000000000000"
"212",1999-01-08,"40.179989999999997","-77.186920000000001","7.600000000000000"
"213",1999-01-08,"40.188440000000000","-77.186059999999998","7.600000000000000"
"214",1999-01-08,"40.195279999999997","-77.184229999999999","7.500000000000000"
"215",1999-01-08,"40.207920000000001","-77.181039999999996","7.600000000000000"
"216",1999-01-08,"40.214179999999999","-77.168830000000000","7.600000000000000"
"217",1999-01-08,"40.218470000000003","-77.160030000000006","7.700000000000000"
"218",1999-01-08,"40.224290000000003","-77.149280000000005","7.800000000000000"
"219",2008-01-08,"40.176630000000003","-77.185370000000006","7.600000000000000"
"220",2008-01-08,"40.234870000000001","-77.141930000000002","8.109999999999999"
